Wspolrzedna X 	 Wspolrzedna Y 	 Predkosc Vx 	 Predkosc Vy 	 En. Kin. 	 En. Pot. 
0.021213	0.021208	21.213203	21.203397	899.584035	0.415965
0.042426	0.042407	21.213203	21.193590	899.168263	0.831737
0.063640	0.063595	21.213203	21.183783	898.752683	1.247317
0.084853	0.084774	21.213203	21.173977	898.337295	1.662705
0.106066	0.105943	21.213203	21.164170	897.922100	2.077900
0.127279	0.127103	21.213203	21.154364	897.507097	2.492903
0.148492	0.148252	21.213203	21.144557	897.092286	2.907714
0.169706	0.169392	21.213203	21.134750	896.677668	3.322332
0.190919	0.190522	21.213203	21.124944	896.263241	3.736759
0.212132	0.211642	21.213203	21.115137	895.849008	4.150992
0.233345	0.232752	21.213203	21.105330	895.434966	4.565034
0.254558	0.253852	21.213203	21.095524	895.021117	4.978883
0.275772	0.274943	21.213203	21.085717	894.607461	5.392539
0.296985	0.296024	21.213203	21.075910	894.193996	5.806004
0.318198	0.317095	21.213203	21.066104	893.780724	6.219276
0.339411	0.338156	21.213203	21.056297	893.367645	6.632355
0.360624	0.359207	21.213203	21.046490	892.954758	7.045242
0.381838	0.380249	21.213203	21.036684	892.542063	7.457937
0.403051	0.401281	21.213203	21.026877	892.129560	7.870440
0.424264	0.422303	21.213203	21.017070	891.717250	8.282750
0.445477	0.443315	21.213203	21.007264	891.305132	8.694868
0.466690	0.464317	21.213203	20.997457	890.893206	9.106794
0.487904	0.485310	21.213203	20.987650	890.481473	9.518527
0.509117	0.506293	21.213203	20.977844	890.069932	9.930068
0.530330	0.527266	21.213203	20.968037	889.658583	10.341417
0.551543	0.548229	21.213203	20.958231	889.247427	10.752573
0.572756	0.569182	21.213203	20.948424	888.836463	11.163537
0.593970	0.590125	21.213203	20.938617	888.425692	11.574308
0.615183	0.611059	21.213203	20.928811	888.015113	11.984887
0.636396	0.631983	21.213203	20.919004	887.604726	12.395274
0.657609	0.652897	21.213203	20.909197	887.194531	12.805469
0.678823	0.673802	21.213203	20.899391	886.784529	13.215471
0.700036	0.694696	21.213203	20.889584	886.374719	13.625281
0.721249	0.715581	21.213203	20.879777	885.965102	14.034898
0.742462	0.736456	21.213203	20.869971	885.555676	14.444324
0.763675	0.757321	21.213203	20.860164	885.146444	14.853556
0.784889	0.778176	21.213203	20.850357	884.737403	15.262597
0.806102	0.799021	21.213203	20.840551	884.328555	15.671445
0.827315	0.819857	21.213203	20.830744	883.919899	16.080101
0.848528	0.840683	21.213203	20.820937	883.511436	16.488564
0.869741	0.861499	21.213203	20.811131	883.103165	16.896835
